floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
W399,AMPL,W399-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W400W401,AMPL,W400W401-AMPL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
W402W405,AMPL,W402W405-AMPL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
W403,AMPL,W403-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W404,AMPL,W404-AMPL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W406W408,AMPL,W406W408-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W407W409,AMPL,W407W409-AMPL,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
W410W941,AMPL,W410W941-AMPL,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
W411,QUHO,W411-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W412,QUHO,W412-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W412W413,AMPL,W412W413-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W413,QUHO,W413-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W414W415,AMPL,W414W415-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W416W417,AMPL,W416W417-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W418,QUHO,W418-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W418W419,AMPL,W418W419-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W419,QUHO,W419-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W420,QUPE,W420-QUPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W420W421,AMPL,W420W421-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W421,QUPE,W421-QUPE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
W422,QUHO,W422-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W422W423,AMPL,W422W423-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W423,QUHO,W423-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W424W425,AMPL,W424W425-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W427,AMPL,W427-AMPL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
W427,QUPE,W427-QUPE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
W428W431,AMPL,W428W431-AMPL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W429W430,AMPL,W429W430-AMPL,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
W430,QUHO,W430-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
